"X1","X3","X4","X13","X14","X15","X16","X18","X31","X35","X36","X37","X40","X53","X54","X55","X56","X57","X58","X60","X61","X64","X66","X67","X68","X69","X70","X80","X81","X82","X83","X88","X89","X90","X92","X93","X96","X105","X116","X117","X123","X124","X126","X138","X141","X153","X163","X164","X173","X177","X178","X179","X180","X182","X183","X192","X195","X196","X197","X198","Species1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Justicia hyssopifolia"
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kickxia scoparia"
0,2,0,1,0,2,0,0,10,0,0,0,0,0,4,0,1,0,0,1,0,24,28,1,3,0,1,0,0,49,1,10,4,0,7,0,1,27,0,0,0,0,27,0,1,1,0,0,1,0,0,0,0,38,41,0,0,0,0,0,"Kleinia neriifolia"
7,0,5,0,1,0,0,0,0,26,0,10,0,9,0,8,13,0,0,6,10,20,0,5,0,9,20,6,18,4,0,0,0,0,1,1,0,0,1,21,0,3,13,1,0,14,0,0,1,3,0,1,4,0,0,1,1,0,1,0,"Launaea arborescens"
0,0,0,0,0,0,23,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lavandula canariensis"
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Limonium pectinatum"
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,10,0,"Lotus sessilifolius"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,"Lycium intricatum"
14,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,0,1,18,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,"Micromeria hyssopifolia"
0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Micromeria varia"
